3916870,0,0,0
2004293326,1296875000,62500000,1359375000
4004617645,1296875000,62500000,1359375000
6004805257,1296875000,62500000,1359375000
8005085239,1296875000,62500000,1359375000
10005549138,1296875000,62500000,1359375000
12005551601,1296875000,62500000,1359375000
14020503524,1296875000,62500000,1359375000
16020900507,1296875000,62500000,1359375000
18020923907,1296875000,62500000,1359375000
20021056508,1296875000,62500000,1359375000
22021506860,1296875000,62500000,1359375000
3782215,0,0,0
2004147587,1203125000,62500000,1265625000
4004833583,1203125000,62500000,1265625000
6005984299,1203125000,62500000,1265625000
8006758149,1203125000,62500000,1265625000
10007169090,1203125000,62500000,1265625000
12007607125,1203125000,62500000,1265625000
14008302153,1203125000,62500000,1265625000
16009227899,1203125000,62500000,1265625000
18009808799,1203125000,62500000,1265625000
20010772314,1203125000,62500000,1265625000
5747,15625000,0,15625000
2000205265,625000000,46875000,671875000
4000524247,625000000,46875000,671875000
6000702828,625000000,46875000,671875000
8001031663,625000000,46875000,671875000
10001547699,625000000,46875000,671875000
12002304306,625000000,46875000,671875000
14002876586,625000000,46875000,671875000
16002801869,625000000,46875000,671875000
18002926260,625000000,46875000,671875000
20003093756,625000000,46875000,671875000
22004025660,625000000,46875000,671875000
18064,0,0,0
2000441320,1171875000,78125000,1250000000
4000685175,1171875000,78125000,1250000000
6000717197,1171875000,78125000,1250000000
8001443835,1171875000,78125000,1250000000
10002076052,1171875000,78125000,1250000000
12002179505,1171875000,78125000,1250000000
14002796122,1171875000,78125000,1250000000
16003001387,1171875000,78125000,1250000000
18003845437,1171875000,78125000,1250000000
20003863501,1171875000,78125000,1250000000
