7390,0,0
2000372761,0,2000
4000816545,0,2000
6000933546,0,2000
8000852261,0,2000
10001189306,0,2000
12001885565,0,2000
14023565669,0,2000
16023972094,0,2000
18023995494,0,2000
20024111263,0,2000
8210,0,0
2000370708,0,2000
4001204495,0,2000
6001331349,0,2000
8002099041,0,2000
10002488634,0,2000
12002664341,0,2000
14003223483,0,2000
16003471033,0,2000
18004164419,0,2000
20004897215,0,2000
1231,0,0
1999826345,0,2000
4000271360,0,2000
6000201159,0,2000
8000631806,0,2000
10000781239,0,2000
12002525171,0,2000
14003389748,0,2000
16018497672,0,2000
18018948024,0,2000
20019838464,0,2000
7800,0,0
1999843178,0,2000
4000119875,0,2000
6000128086,0,2000
8000144096,0,2000
10000148202,0,2000
12000302561,0,2000
14001084211,0,2000
16002088778,0,2000
18002310054,0,2000
20003017808,0,2000
